Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
MERIDIA RE IV,ES0105559001,MLMIV,Euronext Access Paris,EUR,18.55,18.55,18.55,18.55,02/07/2021 00:00,CET,-,-
MERLIN PROPERTIES,ES0105025003,MRL,Euronext Lisbon,EUR,10.20,10.40,10.20,10.40,20/05/2022 19:26,BST,40,414.80
MERSEN,FR0000039620,MRN,Euronext Paris,EUR,30.55,31.75,30.55,31.50,20/05/2022 17:36,CET,10301,323782.90
MESSER BELGIUM,BE0003222214,-,Euronext Expert Market,EUR,-,-,-,-,-,CET,-,-
METABOLIC EXPLORER,FR0004177046,METEX,Euronext Paris,EUR,4.70,4.80,4.70,4.71,20/05/2022 17:35,CET,29228,138835.39
METALEN GALLER,BE0038785821,-,Euronext Expert Market,EUR,400.00,400.00,400.00,400.00,20/10/2015 11:30,CET,515,206000.00
METALLIANCE,FR0010492181,MLETA,Euronext Access Paris,EUR,10.60,12.80,10.60,12.80,18/05/2022 16:37,CET,109,1294.00
METAVISIO,FR00140066X4,MLTHO,Euronext Access Paris,EUR,9.70,9.70,9.70,9.70,20/05/2022 16:30,CET,5182,50265.40
METHANOR,FR0011217710,ALMET,Euronext Growth Paris,EUR,4.10,4.10,4.10,4.10,20/05/2022 09:00,CET,10,41.00
METHORIOS CAPITAL,IT0004615396,ALMTH,Euronext Growth Paris,EUR,0.03,0.03,0.03,0.03,03/10/2016 09:00,CET,1,0.03
METRICS IN BALANCE,BE0974328602,MLMIB,Euronext Access Paris,EUR,0.52,0.52,0.52,0.52,20/05/2022 16:30,CET,1000,520.00
METROPOLE TV,FR0000053225,MMT,Euronext Paris,EUR,15.50,15.62,15.38,15.44,20/05/2022 17:35,CET,170977,2646555.31
MEXEDIA,IT0005450819,ALMEX,Euronext Growth Paris,EUR,50.00,50.00,50.00,50.00,20/05/2022 10:01,CET,10,500.00
MG INTERNATIONAL,FR0010204453,ALMGI,Euronext Growth Paris,EUR,12.10,12.10,12.10,12.10,20/05/2022 16:30,CET,2150,26015.00
MGI DIGITAL GRAPHI,FR0010353888,ALMDG,Euronext Growth Paris,EUR,35.05,35.60,34.80,35.05,20/05/2022 17:35,CET,1968,69627.55
MICHELIN,FR0000121261,ML,Euronext Paris,EUR,116.05,119.45,116.00,116.30,20/05/2022 17:35,CET,531277,63297252.40
MICROPOLE,FR0000077570,MUN,Euronext Paris,EUR,1.236,1.248,1.236,1.242,20/05/2022 15:59,CET,11602,14427.19
MICROSKIN,GB00BF553726,MLSKN,Euronext Access Paris,EUR,0.03,0.03,0.03,0.03,08/06/2017 15:00,CET,10000,300.00
MICROSOFT CORP SPL,US5949181045,MSF,Traded not listed Brussels,USD,256.65,256.65,256.60,256.60,20/05/2022 11:32,CET,160,41061.10
MICS PARTNERS,BE0010610377,-,Euronext Expert Market,EUR,-,-,-,-,-,CET,-,-
MIGUET ET ASSOCIES,FR0010500363,MLNMA,Euronext Access Paris,EUR,1.00,1.00,1.00,1.00,19/05/2022 11:30,CET,6,6.00
MIKO,BE0003731453,MIKO,Euronext Brussels,EUR,100.00,102.00,100.00,102.00,20/05/2022 16:30,CET,63,6346.00
MILIBOO,FR0013053535,ALMLB,Euronext Growth Paris,EUR,3.14,3.15,3.045,3.145,20/05/2022 17:28,CET,2251,6987.67
MINCON GROUP PLC,IE00BD64C665,MIO,Euronext Growth Dublin,EUR,1.28,1.28,1.28,1.28,19/05/2022 18:29,IST,1925,2345.70
MINT,FR0004172450,ALBUD,Euronext Growth Paris,EUR,3.58,3.76,3.58,3.76,20/05/2022 17:29,CET,1193,4377.96
MINTRA HOLDING,NO0010895022,MNTR,Euronext Growth Oslo,NOK,3.89,3.89,3.80,3.80,20/05/2022 13:47,CET,40732,155319.44
MITHRA,BE0974283153,MITRA,Euronext Brussels,EUR,8.10,8.15,7.91,7.95,20/05/2022 17:35,CET,94261,831514.72
MKB Nedsense,NL0009312842,NEDSE,Euronext Amsterdam,EUR,0.1385,0.139,0.138,0.138,20/05/2022 17:29,CET,1784,247.47
MLD,FR0013268067,MLAMY,Euronext Access Paris,EUR,3.60,3.60,3.60,3.60,19/01/2018 14:38,CET,6600,23760.00
MND,FR00140050Q2,ALMND,Euronext Growth Paris,EUR,3.295,3.295,3.13,3.14,20/05/2022 17:23,CET,4461,14287.15
MOLTEN VENTURES,GB00BY7QYJ50,GRW,Euronext Dublin,EUR,6.70,6.70,6.70,6.70,19/05/2022 17:17,IST,108,723.60
MONCEY (FIN.) NOM.,FR0000076986,MONC,Euronext Paris,EUR,6600.00,6600.00,6600.00,6600.00,20/05/2022 11:45,CET,2,13200.00
MONTEA,BE0003853703,MONT,Euronext Brussels, Paris,EUR,100.80,101.80,98.10,98.60,20/05/2022 17:35,CET,9212,915466.70
MONUMENTAL RES,PTMNN0AE0006,MLMR,Euronext Access Lisbon,EUR,-,-,-,-,-,BST,-,-
MOPOLI,NL0000488153,MOP,Euronext Brussels,EUR,336.00,336.00,336.00,336.00,25/03/2022 16:30,CET,8,2688.00
MOPOLI FOND,NL0000488161,MOPF,Euronext Brussels,EUR,8100.00,8100.00,8100.00,8100.00,25/10/2021 16:59,CET,1,8100.00
MOREFIELD GROUP,CWN814651014,MORE,Euronext Amsterdam,EUR,0.285,0.285,0.282,0.282,20/05/2022 10:09,CET,15000,4248.95
MOTA ENGIL,PTMEN0AE0005,EGL,Euronext Lisbon,EUR,1.33,1.34,1.312,1.318,20/05/2022 21:35,BST,542595,719257.31
MOTORK,GB00BMXH3352,MTRK,Euronext Amsterdam,EUR,4.69,4.69,4.41,4.50,20/05/2022 17:38,CET,334,1513.25
MOULINVEST,FR0011033083,ALMOU,Euronext Growth Paris,EUR,63.90,66.20,62.60,62.60,20/05/2022 17:35,CET,6390,413609.70
MOURY CONSTRUCT,BE0003602134,MOUR,Euronext Brussels,EUR,316.00,318.00,316.00,318.00,20/05/2022 16:30,CET,19,6028.00
MOWI,NO0003054108,MOWI,Oslo Børs,NOK,236.30,243.30,234.70,240.30,20/05/2022 16:25,CET,1174802,281551958.20
MPC CONTAINER SHIP,NO0010791353,MPCC,Oslo Børs,NOK,27.49,28.54,26.95,27.66,20/05/2022 16:27,CET,6995771,195343332.70
MPC ENERGY SOLUTIO,NL0015268814,MPCES,Euronext Growth Oslo,NOK,22.90,22.90,22.25,22.25,20/05/2022 16:19,CET,2470,55003.45
MR BRICOLAGE,FR0004034320,ALMRB,Euronext Growth Paris,EUR,10.75,10.90,10.75,10.90,20/05/2022 10:15,CET,46,501.25
MULANN,FR0012990968,MLMUL,Euronext Access Paris,EUR,0.0445,0.0445,0.0445,0.0445,11/09/2020 16:30,CET,3296,146.672
MULTI 24,PTMUS0AM0018,MLM24,Euronext Access Lisbon,EUR,-,-,-,-,-,BST,-,-
MULTICONSULT,NO0010734338,MULTI,Oslo Børs,NOK,138.00,138.00,136.60,136.60,20/05/2022 16:25,CET,2642,362841.80
MUNCHENER RUCKVERS,DE0008430026,MEURV,Traded not listed Brussels,EUR,226.20,226.20,226.20,226.20,18/05/2022 11:20,CET,10,2262.00
MUNIC,FR0013462231,ALMUN,Euronext Growth Paris,EUR,2.87,2.88,2.85,2.85,20/05/2022 12:51,CET,1197,3435.29
MYHOTELMATCH,FR0011277391,MHM,Euronext Paris,EUR,0.0262,0.0276,0.0262,0.0276,20/05/2022 16:47,CET,8160,224.13
NACON,FR0013482791,NACON,Euronext Paris,EUR,5.89,5.95,5.81,5.81,20/05/2022 17:35,CET,33078,193420.47
